_id,base_clock,boost_clock,brand,core,cpu,iGPU,keyword,socket,tdp,thread
,3.6,4.8,intel,14,i5-13600HX,Intel® UHD Graphics for 13th Gen Intel® Processors,13600HX,FCBGA1964,157,20
,3.7,5.0,intel,14,i5-13600,Intel® UHD Graphics 770,13600,FCLGA1700,154,20
,3.5,4.7,intel,12,i5-1350P,Intel® Iris® Xe Graphics eligible,1350P,FCBGA1744,64,16
,3.1,4.5,intel,14,i5-13500TE,Intel® UHD Graphics 770,13500TE,FCLGA1700,35,20
,3.2,4.6,intel,14,i5-13500T,Intel® UHD Graphics 770,13500T,FCLGA1700,92,20
,3.4,4.6,intel,12,i5-1350PE,Intel® Iris® Xe Graphics eligible,1350PE,FCBGA1744,64,16
,3.5,4.7,intel,14,i5-13500HX,Intel® UHD Graphics for 13th Gen Intel® Processors,13500HX,FCBGA1964,157,20
,3.5,4.7,intel,12,i5-13500H,Intel® Iris® Xe Graphics eligible,13500H,FCBGA1744,95,16
,3.5,4.7,intel,12,i5-13500H,Intel® Iris® Xe Graphics eligible,13500H,FCBGA1744,95,16
,3.5,4.8,intel,14,i5-13500,Intel® UHD Graphics 770,13500,FCLGA1700,154,20
,3.3,4.6,intel,14,i5-13500E,Intel® UHD Graphics 770,13500E,FCLGA1700,65,20
,3.4,4.6,intel,10,i5-1345UE,Intel® Iris® Xe Graphics eligible,1345UE,FCBGA1744,55,12
,3.5,4.7,intel,10,i5-1345U,Intel® Iris® Xe Graphics eligible,1345U,FCBGA1744,55,12
,3.4,4.6,intel,10,i5-13450HX,Intel® UHD Graphics for 13th Gen Intel® Processors,13450HX,FCBGA1964,157,16
,3.4,4.6,intel,8,i5-13420H,Intel® UHD Graphics for 13th Gen Intel® Processors,13420H,FCBGA1744,95,12
,3.4,4.6,intel,12,i5-1340P,Intel® Iris® Xe Graphics eligible,1340P,FCBGA1744,64,16
,3.3,4.5,intel,12,i5-1340PE,Intel® Iris® Xe Graphics eligible,1340PE,FCBGA1744,64,16
,3.0,4.4,intel,10,i5-13400T,Intel® UHD Graphics 730,13400T,FCLGA1700,82,16
,3.3,4.6,intel,10,i5-13400F,None,13400F,FCLGA1700,148,16
,3.4,4.6,intel,10,i5-1345URE,Intel® Iris® Xe Graphics eligible,1345URE,FCBGA1744,55,12
,3.3,4.6,intel,10,i5-13400E,Intel® UHD Graphics 730,13400E,FCLGA1700,65,16
,3.4,4.6,intel,10,i5-1335U,Intel® Iris® Xe Graphics eligible,1335U,FCBGA1744,55,12
,3.3,4.5,intel,10,i5-1335UE,Intel® Iris® Xe Graphics eligible,1335UE,FCBGA1744,55,12
,3.3,4.6,intel,10,i5-13400,Intel® UHD Graphics 730,13400,FCLGA1700,148,16
,3.4,4.6,intel,10,i5-1334U,Intel® Iris® Xe Graphics eligible,1334U,FCBGA1744,55,12
,3.5,4.7,intel,12,i5-13505H,Intel® Iris® Xe Graphics eligible,13505H,FCBGA1792,115,16
,,3.8,intel,8,i3-N300,Intel® UHD Graphics,N300,FCBGA1264,7,8
,,3.8,intel,8,i3-N305,Intel® UHD Graphics,N305,FCBGA1264,15,8
,3.4,4.6,intel,8,i3-13300HE,Intel® UHD Graphics for 13th Gen Intel® Processors,13300HE,FCBGA1744,115,12
,3.3,4.5,intel,6,i3-1315UE,Intel® UHD Graphics for 13th Gen Intel® Processors,1315UE,FCBGA1744,55,8
,3.3,4.5,intel,6,i3-1315U,Intel® UHD Graphics for 13th Gen Intel® Processors,1315U,FCBGA1744,55,8
,3.3,4.5,intel,6,i3-1315URE,Intel® UHD Graphics for 13th Gen Intel® Processors,1315URE,FCBGA1744,55,8
,,4.2,intel,4,i3-13100T,Intel® UHD Graphics 770,13100T,FCLGA1700,69,8
,3.3,4.5,intel,6,i3-1315U,Intel® UHD Graphics for 13th Gen Intel® Processors,1315U,FCBGA1744,55,8
,4.4,6.0,intel,24,i9-14900KF,None,14900KF,FCLGA1700,253,32
,4.4,6.0,intel,24,i9-14900K,Intel® UHD Graphics 770,14900K,FCLGA1700,253,32
,2.4,4.1,intel,4,i3-13100TE,Intel® UHD Graphics 730,13100TE,FCLGA1700,35,8
,3.3,4.5,intel,8,i3-1320PE,Intel® UHD Graphics for 13th Gen Intel® Processors,1320PE,FCBGA1744,64,12
,4.3,5.6,intel,20,i7-14700KF,None,14700KF,FCLGA1700,253,28
,4.3,5.6,intel,20,i7-14700K,Intel® UHD Graphics 770,14700K,FCLGA1700,253,28
,,4.5,intel,4,i3-13100,Intel® UHD Graphics 730,13100,FCLGA1700,110,8
,4.0,5.3,intel,14,i5-14600KF,None,14600KF,FCLGA1700,181,20
,,4.5,intel,4,i3-13100F,None,13100F,FCLGA1700,110,8
,3.3,4.4,intel,4,i3-13100E,Intel® UHD Graphics 730,13100E,FCLGA1700,60,8
,3.3,4.5,intel,12,i5-12500HL,Intel® Iris® Xe Graphics eligible,12500HL,FCLGA1700,,16
,4.0,5.3,intel,14,i5-14600K,Intel® UHD Graphics 770,14600K,FCLGA1700,181,20
,4.0,5.5,intel,24,i9-14900T,Intel® UHD Graphics 770,14900T,FCLGA1700,106,32
